Sex,Agemos,W5,W10,W25,W50,W75,W90,W95,H5,H10,H25,H50,H75,H90,H95
2,0.5,2.894442278,3.101767067,3.437628263,3.79752846,4.145593668,4.450125603,4.628836382,47.963239772,48.742481676,50.096855135,51.683580573,53.363623388,54.962222761,55.960942258
2,1.5,3.547610305,3.770157472,4.13899376,4.544776513,4.946765504,5.305632496,5.51916925,51.479956902,52.296268712,53.69078138,55.286128126,56.931360767,58.456123688,59.38910734
2,2.5,4.150638506,4.387041982,4.784820426,5.230584214,5.680083196,6.08764077,6.332837055,54.179073639,55.031443058,56.471252169,58.093819061,59.740446937,61.243057508,62.151655787
2,3.5,4.70712251,4.95592631,5.379141034,5.859960798,6.351511983,6.802769825,7.076722522,56.433349474,57.318924381,58.803462078,60.459807634,62.12329513,63.626478503,64.528753259
2,4.5,5.220487543,5.480295205,5.92588831,6.437587751,6.966523789,7.45711879,7.757233948,58.40032437,59.316327682,60.843862287,62.536696555,64.225071272,65.740958948,66.646525557
2,5.5,5.693974176,5.963510428,6.428828208,6.967850457,7.53018045,8.056331004,8.380329759,60.163230755,61.107258363,62.675897095,64.406327624,66.12417852,67.659952176,68.574516067
2,6.5,6.130641295,6.408775097,6.891533095,7.454854109,8.047178246,8.605635546,8.951543685,61.772080145,62.742102831,64.350053441,66.118415533,67.86849937,69.428684245,70.355869075
2,7.5,6.533372908,6.819122283,7.317373091,7.902436186,8.52187726,9.109878097,9.476008728,63.259579538,64.253887803,65.899520959,67.705744192,69.4897495,71.077310633,72.019524547
2,8.5,6.904885578,7.197413532,7.709516114,8.314178377,8.958324062,9.573546299,9.958479736,64.648448284,65.665593898,67.347445929,69.191236138,71.010189053,72.627114951,73.586008064
2,9.5,7.247735767,7.546341788,8.070932165,8.693418423,9.360270982,10.00079194,10.40335475,65.95519757,66.993943711,68.710701884,70.591639237,72.446136695,74.093775124,75.070500875
2,10.5,7.564326904,7.868436369,8.404399764,9.043261854,9.7311934,10.3954511,10.81469528,67.192256465,68.251537658,70.002021693,71.919616727,73.809968477,75.489231299,76.484604948
2,11.5,7.856916169,8.166068895,8.712513432,9.366593571,10.07430572,10.76106284,11.19624565,68.36924855,69.448139054,71.231283416,73.185010399,75.111329463,76.822823451,77.837422852
2,12.5,8.127621012,8.441459662,8.997691667,9.666089185,10.39257636,11.10088678,11.5514514,69.493799167,70.591488102,72.406326393,74.395643786,76.357906172,78.102019734,79.136251914
2,13.5,8.378425424,8.696684147,9.262185089,9.944226063,10.68874201,11.4179197,11.88347697,70.572067912,71.687839598,73.533491197,75.557854397,77.555939635,79.332902044,80.387048596
2,14.5,8.611186014,8.933679535,9.508084539,10.20329397,10.96532105,11.7149113,12.19522253,71.609112224,72.742330546,74.617989352,76.676858713,78.71057805,80.520500976,81.594749856
2,15.5,8.827637666,9.154251142,9.737329319,10.4454058,11.2246268,11.99437938,12.48934,72.609143227,73.759239094,75.664164029,77.757009856,79.826126213,81.669033445,82.763501742
2,16.5,9.029399482,9.360078736,9.951714686,10.67250698,11.46877937,12.258624,12.76824867,73.575710207,74.742171418,76.675678442,78.801984056,80.906226406,82.782075542,83.896826111
2,17.5,9.217979979,9.55272268,10.15289979,10.88638558,11.69971783,12.50974133,13.03414978,74.511836664,75.694199652,77.655654995,79.814918523,81.953992365,83.862690867,84.99774469
2,18.5,9.394782429,9.733629905,10.34241498,11.08868151,11.91921144,12.74963667,13.28904061,75.420122517,76.617965568,78.606779995,80.798515316,82.972110397,84.913527661,86.068873159
2,19.5,9.561109949,9.904139709,10.52166904,11.28089537,12.1288704,12.98003694,13.53472797,76.302822243,77.515759887,79.531383794,81.755120921,83.962916962,85.936893478,87.112493628
2,20.5,9.718170424,10.06548937,10.69195601,11.46439708,12.3301562,13.20250263,13.77284102,77.161905465,78.389583801,80.43150301,82.686788098,84.928459077,86.934813461,88.130611285
2,21.5,9.867081272,10.21881956,10.85446195,11.64043402,12.52439148,13.41843913,14.00484351,77.999104598,79.241197373,81.308929506,83.59532461,85.87054197,87.9090764,89.124999252
